absence	N
accident	N
address	N
adventure	N
advice	N
age	N
agent	N
ago	AV
along	Prep
along	AV
also	AV
always	AV
ambition	N
anchor	N
anchor	V
ankle	N
arrangement	N
ash	N
awkward	ADJ
balcony	N
barrel	N
beard	N
beat	V
behind	Prep
belt	N
bet	N
bet	V
blame	V
blame	N
blanket	N
both	AV
bottom	ADJ
brave	ADJ
breakfast	N
breast	N
bubble	N
bubble	V
bud	N
bunch	N
burial	V
busy	ADJ
calculation	N
call	V
capital	N
carpet	N
case	N
ceremony	N
chair	N
character	N
child	N
chimney	N
china	N
choice	N
civilization	N
clay	N
clever	ADJ
collection	N
column	N
communications	N
concept	N
concrete	ADJ
convenient	ADJ
cool	ADJ
cool	V
corner	N
cost	V
cost	N
crop	N
cross	V
cunning	ADV
date	N
demand	V
department	N
dew	N
difficulty	N
dinner	N
disgrace	N
dislike	V
ditch	N
dive	V
divorce	N
divorce	V
doll	N
dreadful	ADJ
dream	N
dull	ADJ
duty	N
each	ADJ
easy	ADJ
economy	N
effort	N
either	ADJ
employer	N
empty	ADJ
enemy	N
envelope	N
envy	N
evening	N
exact	ADJ
excitement	ADJ	
exercise	N
exercise	V
explanation	N
explosion	N
expression	N
eyebrow	N
eyelash	N
failure	N
fair	ADJ
famous	ADJ
fan	V
fastening	N
fever	N
figure	N
financial	ADJ
flash	N
flesh	N
flood	N
flood	V
flour	N
forecast	N
forecast	V
forehead	N
foreign	ADJ
forgiveness	N
fresh	ADJ
frost	N
frozen	ADJ
funny	ADJ
fur	N
furniture	N
gate	N
generation	N
germ	N
god	N
grand	ADJ
grateful	ADJ
grease	N
grief	N
grocery	N
ground	ADJ
guard	V
guess	V
guess	N
gum	N
habit	N
handkerchief	N
handle	N
handle	V
heavy	ADJ
hedge	N
hill	N
holiday	N
home	N
honest	ADJ
honey	N
human	N
human	ADJ
hunt	V
hurry	V
hurt	V
husband	N
imagination	N
innocent	ADJ
institution	N
intelligent	ADJ
invitation	N
jam	N
jam	V
jaw	N
jealous	ADJ
jerk	V
joint	N
jug	N
juice	N
jury	N
justice	N
kennel	N
kidney	N
kitchen	N
knock	V
knock	N
lace	N
lace	V
lame	ADJ
lamp	N
large	ADJ
lawyer	N
lazy	ADJ
lecture	V
legal	ADJ
lesson	N
lever	N
license	N
lid	N
life	N
lime	N
liver	N
load	V
local	ADJ
loop	N
luck	N
lump	N
lunch	N
lung	N
magic	N
manner	N
many	ADJ
marble	N
marriage	N
mast	N
mattress	N
mean	V
meaning	N
medicine	N
member	N
mess	N
mess	V
message	N
mill	N
mineral	N
model	N
modern	ADJ
modest	ADJ
mood	N
moral	ADJ
moustache	N
mud	N
murder	N
nasty	ADJ
nature	N
navy	N
neat	ADJ
neglect	N
neighbor	N
nest	N
next	ADJ
nice	ADJ
nostril	N
nurse	N
obedient	ADJ
officer	N
orchestra	N
organ	N
origin	N
oval	N
own	ADJ
pad	N
pair	N
pan	N
paragraph	N
party	N
party	V
passage	N
patience	N
pedal	N
people	N
perfect	ADJ
plaster	N
poetry	N
pool	N
practice	V
praise	V
prayer	N
prick	V
priest	N
progress	N
progress	V
promise	N
promise	V
proof	N
proud	ADJ
pupil	N
pure	ADJ
race	N
real	ADJ
reference	N
remark	N
remedy	N
repair	V
result	N
revenge	N
rich	ADJ
rise	V
rival	N
rude	ADJ
rust	N
sale	N
satisfaction	N
saucer	N
scratch	V
scratch	N
screen	N
search	V
selfish	ADJ
sentence	N
set	N
set	V
shave	V	
sheet	N
shell	N
shoulder	N
show	V
sight	N
since	Prep
sleeve	N
social	ADJ
soldier	N
sorry	ADJ
spark	N
spirit	N
spit	V
splash	V
spot	N
spot	V
stable	ADJ
stair	N
steady	ADJ
storm	N
strain	N
straw	N
stream	N
string	N
study	V
subject	N
success	N
sum	N
supply	V
surface	N
surgeon	N
suspicious	ADJ
swing	V
sympathetic	ADJ
tailor	V
tame	V
tap	V
tear	V
tent	N
thief	N
thimble	N
threat	N
tie	V
too	ADV
towel	N
tower	N
traffic	N
tragedy	N
trap	V
trap	N
travel	V
treatment	N
truck	N
tube	N
tune	V
tunnel	N
twin	ADJ
typist	N
ugly	ADJ
understanding	N
universe	N
valley	N
vegetable	N
victim	N
victory	N
vote	N
vote	V
weak	ADJ
welcome	N
welcome	V
welcome	ADJ
whether	Conj
widow	N
wife	N
wild	ADJ
world	N
wreck	V
wrist	N
yawn	V
