abandoned 	VBN 
abandon 	VBP 
ability 	NN 
able 	JJ 
about 	IN 
about 	RB 
above 	IN 
above 	RB 
abroad 	RB 
absence 	NN 
absent 	JJ 
absolute 	JJ 
absolutely 	RB 
absorb 	VB 
abuse 	NN 
academic 	JJ 
accent 	NN 
acceptable 	JJ 
accept 	VB 
access 	NN 
accidental 	JJ 
accidentally 	RB 
accident 	NN 
accompany 	VBP 
according 	VBG 
account 	NN 
accurate 	JJ 
accurately 	RB 
accuse 	VBP 
achievement 	NN 
achieve 	VB 
acid 	NN 
acknowledge 	VBP 
acquire 	NN 
across 	IN 
action 	NN 
active 	JJ 
actively 	RB 
activist 	JJ 
activity 	NN 
actor 	NN 
actress 	NN 
actual 	JJ 
actually 	RB 
act 	VBP 
adapt 	VB 
additional 	JJ 
addition 	NN 
address 	NN 
add 	VBP 
adequate 	JJ 
adequately 	RB 
adjust 	VBP 
administration 	NN 
admiration 	NN 
admire 	VBP 
admit 	VB 
ad 	NN 
adopt 	VB 
a 	DT 
adult 	JJ 
advanced 	JJ 
advance 	NN 
advantage 	NN 
adventure 	NN 
advertisement 	NN 
advertise 	VB 
advertising 	NN 
advice 	NN 
advise 	VBP 
affair 	NN 
affection 	NN 
affect 	VBP 
afford 	VB 
afraid 	JJ 
after 	IN 
afternoon 	NN 
afterward 	RB 
afterwards 	RB 
again 	RB 
against 	IN 
aged 	JJ 
agency 	NN 
agenda 	NN 
age 	NN 
agent 	NN 
aggressive 	JJ 
ago 	IN 
agreement 	NN 
agree 	VBP 
ahead 	RB 
aid 	NN 
aim 	NN 
aircraft 	NN 
air 	NN 
airport 	NN 
alarmed 	VBD 
alarming 	JJ 
alarm 	NN 
alcoholic 	JJ 
alcohol 	NN 
alive 	JJ 
all 	DT 
allied 	VBN 
allow 	VBP 
ally 	NN 
almost 	RB 
alone 	RB 
along 	IN 
alongside 	IN 
aloud 	RB 
alphabetical 	JJ 
alphabetically 	RB 
alphabet 	NN 
already 	RB 
also 	RB 
alternative 	JJ 
alternatively 	RB 
alter 	VBP 
although 	IN 
altogether 	RB 
always 	RB 
amazed 	VBN 
amaze 	VB 
amazing 	JJ 
ambition 	NN 
ambulance 	NN 
among 	IN 
amount 	NN 
a.m. 	RB 
amused 	VBD 
amuse 	VB 
amusing 	JJ 
analysis 	NN 
analyze 	VBP 
ancient 	JJ 
and 	CC 
an 	DT 
anger 	NN 
angle 	NN 
angrily 	RB 
angry 	JJ 
animal 	NN 
ankle 	NN 
anniversary 	NN 
announcement 	NN 
announce 	VB 
annoyed 	JJ 
annoying 	JJ 
annoy 	JJ 
annual 	JJ 
annually 	RB 
another 	DT 
answer 	NN 
anticipate 	VBP 
anxiety 	NN 
anxious 	JJ 
anxiously 	RB 
anybody 	NN 
any 	DT 
anyone 	NN 
anything 	NN 
anyway 	RB 
anywhere 	RB 
apartment 	NN 
apart 	RB 
apologize 	VB 
apparent 	JJ 
apparently 	RB 
appeal 	NN 
appearance 	NN 
appear 	VBP 
apple 	NN 
application 	NN 
apply 	VB 
appointment 	NN 
appoint 	VB 
appreciate 	VB 
approach 	NN 
appropriate 	JJ 
approval 	NN 
approve 	VBP 
approving 	VBG 
approximate 	JJ 
approximately 	RB 
April 	NNP 
area 	NN 
argue 	VBP 
argument 	NN 
arise 	VB 
armed 	JJ 
arm 	NN 
arms 	NNS 
army 	NN 
around 	IN 
arrangement 	NN 
arrange 	VBP 
arrest 	NN 
arrival 	NN 
arrive 	VBP 
arrow 	NN 
article 	NN 
artificial 	JJ 
artificially 	RB 
artistic 	JJ 
artist 	NN 
art 	NN 
ashamed 	JJ 
aside 	RB 
as 	IN 
ask 	VB 
asleep 	JJ 
aspect 	NN 
assistance 	NN 
assistant 	NN 
assist 	VB 
associate 	JJ 
association 	NN 
assume 	VB 
assure 	VB 
at 	IN 
atmosphere 	NN 
atom 	NN 
attached 	VBN 
attach 	VBP 
attack 	NN 
attempted 	VBD 
attempt 	NN 
attend 	VB 
attention 	NN 
attitude 	NN 
attorney 	NN 
attraction 	NN 
attractive 	JJ 
attract 	VB 
audience 	NN 
August 	NNP 
aunt 	NN 
authority 	NN 
author 	NN 
automatically 	RB 
automatic 	JJ 
available 	JJ 
average 	JJ 
avoid 	VB 
awake 	JJ 
award 	NN 
aware 	JJ 
away 	RB 
awful 	JJ 
awkward 	JJ 
awkwardly 	RB 
baby 	NN 
background 	NN 
back 	RB 
backward 	RB 
backwards 	RB 
bacteria 	NNS 
bad 	JJ 
badly 	RB 
baggage 	NN 
bag 	NN 
bake 	NN 
balance 	NN 
ball 	NN 
bandage 	NN 
band 	NN 
bank 	NN 
ban 	NN 
barely 	RB 
bargain 	NN 
bar 	NN 
barrier 	NN 
baseball 	NN 
base 	NN 
basically 	RB 
basic 	JJ 
basis 	NN 
basketball 	NN 
bath 	NN 
bathroom 	NN 
battery 	NN 
battle 	NN 
bay 	NN 
beach 	NN 
beak 	NN 
beard 	NN 
bear 	NN 
beat 	JJ 
beat 	VBD 
beautiful 	JJ 
beautifully 	RB 
beauty 	NN 
because 	IN 
because 	RB 
become 	VBN 
bed 	NN 
bedroom 	NN 
beef 	NN 
beer 	NN 
before 	IN 
beginning 	VBG 
begin 	VB 
behalf 	NN 
behave 	VBP 
behavior 	NN 
behind 	IN 
belief 	NN 
believe 	VBP 
bell 	NN 
belong 	VBP 
below 	IN 
belt 	NN 
bend 	NN 
beneath 	IN 
benefit 	NN 
bent 	JJ 
beside 	RB 
best 	JJS 
bet 	NN 
better 	JJR 
bet 	VB 
between 	IN 
be 	VB 
beyond 	IN 
bicycle 	NN 
bid 	NN 
big 	JJ 
bike 	NN 
bill 	NN 
biology 	NN 
bird 	NN 
birthday 	NN 
birth 	NN 
bite 	NN 
bite 	VBP 
bit 	NN 
bitter 	JJ 
bitterly 	RB 
black 	JJ 
blade 	NN 
blame 	NN 
blank 	JJ 
blankly 	RB 
blind 	JJ 
block 	NN 
blonde 	JJ 
blond 	JJ 
