abandoned 	 JJ
abandon 	 VB
ability 	 NN
able 	 JJ
about 	 ADVB
about 	 PREP
above 	 ADVB
above 	 PREP
abroad 	 ADVB
absence 	 NN
absent 	 JJ
absolute 	 JJ
absolutely 	 ADVB
absorb 	 VB
abuse 	 NN
abuse 	 VB
academic 	 JJ
accent 	 NN
acceptable 	 JJ
accept 	 VB
access 	 NN
accidental 	 JJ
accidentally 	 ADVB
accident 	 NN
accompany 	 VB
according 	 PREP
account 	 NN
account 	 VB
accurate 	 JJ
accurately 	 ADVB
accuse 	 VB
achievement 	 NN
achieve 	 VB
acid 	 NN
acknowledge 	 VB
acquire 	 VB
across 	 ADVB
across 	 PREP
action 	 NN
active 	 JJ
actively 	 ADVB
activist 	 NN
activity 	 NN
act 	 NN
actor 	 NN
actress 	 NN
actual 	 JJ
actually 	 ADVB
act 	 VB
adapt 	 VB
additional 	 JJ
addition 	 NN
address 	 NN
address 	 VB
add 	 VB
adequate 	 JJ
adequately 	 ADVB
adjust 	 VB
administration 	 NN
admiration 	 NN
admire 	 VB
admit 	 VB
ad 	 NN
adopt 	 VB
adult 	 JJ
adult 	 NN
advanced 	 JJ
advance 	 NN
advance 	 VB
advantage 	 NN
adventure 	 NN
advertisement 	 NN
advertise 	 VB
advertising 	 NN
advice 	 NN
advise 	 VB
affair 	 NN
affection 	 NN
affect 	 VB
afford 	 VB
afraid 	 JJ
after 	 ADVB
after 	 CONJ
afternoon 	 NN
after 	 PREP
afterward 	 ADVB
afterwards 	 ADVB
again 	 ADVB
against 	 PREP
aged 	 JJ
agency 	 NN
agenda 	 NN
age 	 NN
agent 	 NN
aggressive 	 JJ
ago 	 ADVB
agreement 	 NN
agree 	 VB
ahead 	 ADVB
aid 	 NN
aid 	 VB
aim 	 NN
aim 	 VB
a 	 INDEFART
aircraft 	 NN
air 	 NN
airport 	 NN
alarmed 	 JJ
alarming 	 JJ
alarm 	 NN
alarm 	 VB
alcoholic 	 JJ
alcohol 	 NN
alive 	 JJ
all 	 ADVB
all 	 DET
allied 	 JJ
allow 	 VB
all 	 PRNOUN
ally 	 NN
ally 	 VB
almost 	 ADVB
alone 	 JJ
alone 	 ADVB
along 	 ADVB
along 	 PREP
alongside 	 ADVB
alongside 	 PREP
aloud 	 ADVB
alphabetical 	 JJ
alphabetically 	 ADVB
alphabet 	 NN
already 	 ADVB
also 	 ADVB
alternative 	 JJ
alternatively 	 ADVB
alternative 	 NN
alter 	 VB
although 	 CONJ
altogether 	 ADVB
always 	 ADVB
a.m. 	 ABBR
amazed 	 JJ
amaze 	 VB
amazing 	 JJ
ambition 	 NN
ambulance 	 NN
among 	 PREP
amount 	 NN
amount 	 VB
amused 	 JJ
amuse 	 VB
amusing 	 JJ
analysis 	 NN
analyze 	 VB
ancient 	 JJ
and 	 CONJ
anger 	 NN
angle 	 NN
angrily 	 ADVB
angry 	 JJ
animal 	 NN
an 	 INDEFART
ankle 	 NN
anniversary 	 NN
announcement 	 NN
announce 	 VB
annoyed 	 JJ
annoying 	 JJ
annoy 	 VB
annual 	 JJ
annually 	 ADVB
another 	 DET
another 	 PRNOUN
answer 	 NN
answer 	 VB
anticipate 	 VB
anxiety 	 NN
anxious 	 JJ
anxiously 	 ADVB
any 	 ADVB
anybody 	 PRNOUN
any 	 DET
anyone 	 PRNOUN
any 	 PRNOUN
anything 	 PRNOUN
anyway 	 ADVB
anywhere 	 ADVB
apart 	 ADVB
apartment 	 NN
apologize 	 VB
apparent 	 JJ
apparently 	 ADVB
appeal 	 NN
appeal 	 VB
appearance 	 NN
appear 	 VB
apple 	 NN
application 	 NN
apply 	 VB
appointment 	 NN
appoint 	 VB
appreciate 	 VB
approach 	 NN
approach 	 VB
appropriate 	 JJ
approval 	 NN
approve 	 VB
approving 	 JJ
approximate 	 JJ
approximately 	 ADVB
April 	 NN
area 	 NN
argue 	 VB
argument 	 NN
arise 	 VB
armed 	 JJ
arm 	 NN
arms 	 NN
arm 	 VB
army 	 NN
around 	 ADVB
around 	 PREP
arrangement 	 NN
arrange 	 VB
arrest 	 NN
arrest 	 VB
arrival 	 NN
arrive 	 VB
arrow 	 NN
article 	 NN
artificial 	 JJ
artificially 	 ADVB
artistic 	 JJ
artist 	 NN
art 	 NN
as 	 ADVB
as 	 CONJ
ashamed 	 JJ
aside 	 ADVB
ask 	 VB
asleep 	 JJ
aspect 	 NN
as 	 PREP
assistance 	 NN
assistant 	 JJ
