the	DT
be	VB
and	CC
of	IN
a	DT
in	IN
to	TO
have	VB
to	IN
it	PRP
I	PRP
that	CC
for	IN
you	PRP
he	PRP
with	IN
on	IN
do	VB
say	VB
this	DT
they	PRP
at	IN
but	CC
we	PRP
his	PRP$
from	IN
that	DT
not	RB
n't	RB
by	IN
she	PRP
or	CC
as	CC
what	DT
go	VB
their	PRP$
can	VB
who	WP
get	VB
if	CC
would	VB
her	PRP$
all	DT
my	PRP$
make	VB
about	IN
know	VB
will	VB
as	IN
up	RB
one	CD
time	NN
there	EX
year	NN
so	RB
think	VB
when	CC
which	DT
them	PRP
some	DT
me	PRP
people	NN
take	VB
out	RB
into	IN
just	RB
see	VB
him	PRP
your	PRP$
come	VB
could	VB
now	RB
than	CC
like	IN
other	JJ
how	RB
then	RB
its	PRP$
our	PRP$
two	CD
more	RB
these	DT
want	VB
way	NN
look	VB
first	JJ
also	RB
new	JJ
because	CC
day	NN
more	DT
use	VB
no	DT
man	NN
find	VB
here	RB
thing	NN
give	VB
many	DT
well	RB
only	RB
those	DT
tell	VB
one	NN
very	RB
her	PRP
even	RB
back	RB
any	DT
good	JJ
woman	NN
through	IN
us	PRP
life	NN
child	NN
there	RB
work	VB
down	RB
may	VB
after	IN
should	VB
call	VB
world	NN
over	IN
school	NN
still	RB
try	VB
in	RB
as	RB
last	JJ
ask	VB
need	VB
too	RB
feel	VB
three	CD
when	RB
state	NN
never	RB
become	VB
between	IN
high	JJ
really	RB
something	NN
most	RB
another	DT
much	DT
family	NN
own	DT
out	IN
leave	VB
put	VB
old	JJ
while	CC
mean	VB
on	RB
keep	VB
student	NN
why	RB
let	VB
great	JJ
same	DT
big	JJ
group	NN
begin	VB
seem	VB
country	NN
help	VB
talk	VB
where	CC
turn	VB
problem	NN
every	DT
start	VB
hand	NN
might	VB
American	JJ
show	VB
part	NN
about	RB
against	IN
place	NN
over	RB
such	DT
again	RB
few	DT
case	NN
most	DT
week	NN
company	NN
where	RB
system	NN
each	DT
right	RB
program	NN
hear	VB
so	CC
question	NN
during	IN
work	NN
play	VB
government	NN
run	VB
small	JJ
number	NN
off	RB
always	RB
move	VB
like	VB
night	NN
live	VB
Mr	NN
point	NN
believe	VB
hold	VB
today	RB
bring	VB
happen	VB
next	JJ
without	IN
before	IN
large	JJ
all	RB
million	CD
must	VB
home	NN
under	IN
water	NN
room	NN
write	VB
mother	NN
area	NN
national	JJ
money	NN
story	NN
young	JJ
fact	NN
month	NN
different	JJ
lot	NN
right	NN
study	NN
book	NN
eye	NN
job	NN
word	NN
though	CC
business	NN
issue	NN
side	NN
kind	NN
four	CD
head	NN
far	RB
black	JJ
long	JJ
both	DT
little	JJ
house	NN
yes	UH
after	CC
since	CC
long	RB
provide	VB
service	NN
around	IN
friend	NN
important	JJ
father	NN
sit	VB
away	RB
until	CC
power	NN
hour	NN
game	NN
often	RB
yet	RB
line	NN
political	JJ
end	NN
among	IN
ever	RB
stand	VB
bad	JJ
lose	VB
however	RB
member	NN
pay	VB
law	NN
meet	VB
car	NN
city	NN
almost	RB
include	VB
continue	VB
set	VB
later	RB
community	NN
much	RB
name	NN
five	CD
once	RB
white	JJ
least	RB
president	NN
learn	VB
real	JJ
change	VB
team	NN
minute	NN
best	JJ
several	DT
idea	NN
kid	NN
body	NN
information	NN
nothing	NN
ago	RB
right	JJ
lead	VB
social	JJ
understand	VB
whether	CC
back	NN
watch	VB
together	RB
follow	VB
around	RB
parent	NN
only	JJ
stop	VB
face	NN
anything	PRP
create	VB
public	JJ
already	RB
speak	VB
others	NN
read	VB
level	NN
allow	VB
add	VB
office	NN
spend	VB
door	NN
health	NN
person	NN
art	NN
sure	JJ
such	IN
war	NN
history	NN
party	NN
within	IN
grow	VB
result	NN
open	VB
change	NN
morning	NN
walk	VB
reason	NN
low	JJ
win	VB
research	NN
girl	NN
guy	NN
early	JJ
food	NN
before	CC
moment	NN
himself	PRP
air	NN
teacher	NN
force	NN
offer	VB
enough	RB
both	RB
education	NN
across	IN
although	CC
remember	VB
foot	NN
second	JJ
boy	NN
maybe	RB
toward	IN
able	JJ
age	NN
off	IN
policy	NN
everything	NN
love	VB
process	NN
music	NN
including	IN
consider	VB
appear	VB
actually	RB
buy	VB
probably	RB
human	JJ
wait	VB
serve	VB
market	NN
die	VB
send	VB
expect	VB
home	RB
sense	NN
build	VB
stay	VB
fall	VB
oh	UH
nation	NN
plan	NN
cut	VB
college	NN
interest	NN
death	NN
course	RB
someone	NN
experience	NN
behind	IN
reach	VB
local	JJ
kill	VB
six	CD
remain	VB
effect	NN
use	NN
yeah	UH
suggest	VB
class	NN
control	NN
raise	VB
care	NN
perhaps	RB
little	RB
late	JJ
hard	JJ
field	NN
else	RB
pass	VB
former	DT
sell	VB
major	JJ
sometimes	RB
require	VB
along	IN
development	NN
themselves	PRP
report	VB
role	NN
better	JJ
economic	JJ
effort	NN
up	IN
decide	VB
rate	NN
strong	JJ
possible	JJ
heart	NN
drug	NN
show	NN
leader	NN
light	NN
voice	NN
wife	NN
whole	JJ
police	NN
mind	NN
finally	RB
pull	VB
return	VB
free	JJ
military	JJ
price	NN
report	NN
less	RB
according	IN
decision	NN
explain	VB
son	NN
hope	VB
even	CC
develop	VB
view	NN
relationship	NN
carry	VB
town	NN
road	NN
drive	VB
arm	NN
true	JJ
federal	JJ
break	VB
better	RB
difference	NN
thank	VB
receive	VB
value	NN
international	JJ
building	NN
action	NN
full	JJ
model	NN
join	VB
season	NN
society	NN
because	IN
tax	NN
director	NN
early	RB
position	NN
player	NN
agree	VB
especially	RB
record	NN
pick	VB
wear	VB
paper	NN
special	JJ
space	NN
ground	NN
form	NN
support	VB
event	NN
official	NN
whose	DT
matter	NN
everyone	NN
center	NN
couple	NN
site	NN
end	VB
project	NN
hit	VB
base	VB
activity	NN
star	NN
table	NN
need	NN
court	NN
produce	VB
eat	VB
American	NN
teach	VB
oil	NN
half	DT
situation	NN
easy	JJ
cost	NN
industry	NN
figure	NN
face	VB
street	NN
image	NN
itself	PRP
phone	NN
either	RB
data	NN
cover	VB
quite	RB
picture	NN
clear	JJ
practice	NN
piece	NN
land	NN
recent	JJ
describe	VB
product	NN
doctor	NN
wall	NN
patient	NN
worker	NN
news	NN
test	NN
movie	NN
certain	JJ
north	NN
love	NN
personal	JJ
open	JJ
support	NN
simply	RB
third	JJ
technology	NN
catch	VB
step	NN
baby	NN
computer	NN
type	NN
attention	NN
draw	VB
film	NN
Republican	NN
tree	NN
source	NN
red	JJ
nearly	RB
organization	NN
choose	VB
cause	VB
hair	NN
look	NN
point	VB
century	NN
evidence	NN
window	NN
difficult	JJ
listen	VB
soon	RB
culture	NN
billion	CD
chance	NN
brother	NN
energy	NN
period	NN
course	NN
summer	NN
less	DT
realize	VB
hundred	CD
available	JJ
plant	NN
likely	JJ
opportunity	NN
term	NN
short	JJ
letter	NN
condition	NN
choice	NN
place	VB
single	JJ
rule	NN
daughter	NN
administration	NN
south	NN
husband	NN
Congress	NN
floor	NN
campaign	NN
material	NN
population	NN
well	IN
call	NN
economy	NN
medical	JJ
hospital	NN
church	NN
close	VB
thousand	CD
risk	NN
current	JJ
fire	NN
future	NN
wrong	JJ
involve	VB
defense	NN
anyone	NN
increase	VB
security	NN
bank	NN
myself	PRP
certainly	RB
west	NN
sport	NN
board	NN
seek	VB
per	IN
subject	NN
officer	NN
private	JJ
rest	NN
behavior	NN
deal	VB
performance	NN
fight	VB
throw	VB
top	NN
quickly	RB
past	JJ
goal	NN
second	NN
bed	NN
order	NN
author	NN
fill	VB
