slug,language,title,grade_level,version,filename
10dollarbill-woman,en,"Tubman, Perkins or Roosevelt? Woman on $10 bill campaign begins",12.0,0,10dollarbill-woman.en.0.txt
10dollarbill-woman,en,Americans weigh in to choose the woman who will grace the new $10 bill,8.0,1,10dollarbill-woman.en.1.txt
10dollarbill-woman,en,The $10 question: Who will be the new face on U.S. currency?,6.0,2,10dollarbill-woman.en.2.txt
10dollarbill-woman,en,New $10 bill will have a theme and a woman's picture for the first time,5.0,3,10dollarbill-woman.en.3.txt
10dollarbill-woman,en,We will soon have an American woman's face on a new $10 bill,3.0,4,10dollarbill-woman.en.4.txt
17century-selfies,en,"17th century ""selfies"" show at Dutch museum, the Mauritshuis",12.0,0,17century-selfies.en.0.txt
17century-selfies,en,"Dutch Golden Age artists created some of the original ""selfies""",9.0,1,17century-selfies.en.1.txt
17century-selfies,en,"17th century self-portraits exhibited as the original ""selfies""",7.0,2,17century-selfies.en.2.txt
17century-selfies,en,"The ""selfie"" evolution, from paint brush to cellphone click",4.0,3,17century-selfies.en.3.txt
17century-selfies,en,"Old paintings look like early ""selfies""",2.0,4,17century-selfies.en.4.txt
17century-selfies-spanish,es,Un museo en Holanda abre exposición de 'selfies' del siglo XVII,12.0,0,17century-selfies-spanish.es.0.txt
17century-selfies-spanish,es,Las 'selfies' del siglo XVII en el museo Mauritshuis,9.0,1,17century-selfies-spanish.es.1.txt
17century-selfies-spanish,es,Una exposición de 'selfies' del siglo XVII,7.0,2,17century-selfies-spanish.es.2.txt
17century-selfies-spanish,es,"Pinturas antiguas, como las 'selfies' modernas",4.0,3,17century-selfies-spanish.es.3.txt
17century-selfies-spanish,es,Las primeras 'selfies' de la historia,2.0,4,17century-selfies-spanish.es.4.txt
20dollarbill-female,en,Group pushing for female face on $20 bill narrows field to four finalists,12.0,0,20dollarbill-female.en.0.txt
20dollarbill-female,en,"A woman's place is on the $20 bill, says group holding vote on 4 candidates",9.0,1,20dollarbill-female.en.1.txt
20dollarbill-female,en,"Replace Andrew Jackson with a woman on the $20 bill, group says",7.0,2,20dollarbill-female.en.2.txt
20dollarbill-female,en,Women on 20s group pushes to replace Andrew Jackson on $20 bill,6.0,3,20dollarbill-female.en.3.txt
20dollarbill-female,en,Group wants a woman on the $20 bill instead of Andrew Jackson,4.0,4,20dollarbill-female.en.4.txt
3D-limbs,en,Kids get new hands made with 3-D printers,12.0,0,3D-limbs.en.0.txt
3D-limbs,en,Kids get real helping hands from 3-D printers,8.0,1,3D-limbs.en.1.txt
3D-limbs,en,Kids love their Robohands,6.0,2,3D-limbs.en.2.txt
3D-limbs,en,High-fives for 3-D hands,4.0,3,3D-limbs.en.3.txt
3D-limbs,en,Printing out a new hand. Really!,3.0,4,3D-limbs.en.4.txt
3d-indoormap,en,"Building an indoor 3-D map on the spot, via smartphone",12.0,0,3d-indoormap.en.0.txt
3d-indoormap,en,Getting smartphones to create 3-D indoor maps on the go,8.0,1,3d-indoormap.en.1.txt
3d-indoormap,en,3-D maps on the horizon for smartphones,6.0,2,3d-indoormap.en.2.txt
3d-indoormap,en,"Creating 3-D maps anywhere, and quickly, with smartphones",5.0,3,3d-indoormap.en.3.txt
3d-indoormap,en,"Instant 3-D maps, on a smartphone",4.0,4,3d-indoormap.en.4.txt
401k-literacy,en,Teaching high school students about 401(k)s,12.0,0,401k-literacy.en.0.txt
401k-literacy,en,Virginia teens learn about saving for retirement and managing credit,9.0,1,401k-literacy.en.1.txt
401k-literacy,en,"Reading, writing, 'rithmetic and retirement? Teens learn about 401(k)s",7.0,2,401k-literacy.en.2.txt
401k-literacy,en,"To graduate from this high school, students learn how to manage money",5.0,3,401k-literacy.en.3.txt
401k-literacy,en,Virginia high school students learn how to be smart about money,3.0,4,401k-literacy.en.4.txt
ADHD-game,en,"Game's hidden purpose: Tracking, diagnosing ADHD",12.0,0,ADHD-game.en.0.txt
ADHD-game,en,"""Groundskeeper"" video game tests for attention deficit disorders",8.0,1,ADHD-game.en.1.txt
ADHD-game,en,A video game is used to test for brain disorders like attention deficit,7.0,2,ADHD-game.en.2.txt
ADHD-game,en,"A video game called ""Groundskeeper"" is used to test brain disorders",5.0,3,ADHD-game.en.3.txt
ADHD-game,en,Measuring attention disorders through a fun video game,4.0,4,ADHD-game.en.4.txt
AsianAmericans-south,en,How Asian-Americans are changing the South,12.0,0,AsianAmericans-south.en.0.txt
AsianAmericans-south,en,The South's demographic shift as Asian-American population explodes,9.0,1,AsianAmericans-south.en.1.txt
AsianAmericans-south,en,Asian-Americans are changing the face of the South,7.0,2,AsianAmericans-south.en.2.txt
AsianAmericans-south,en,The South is beginning to look a little different,6.0,3,AsianAmericans-south.en.3.txt
AsianAmericans-south,en,Many Asian-Americans are moving to  the South,4.0,4,AsianAmericans-south.en.4.txt
Australia-troubledkids,en,"In Australia's outback, troubled youths find help in old traditions",12.0,0,Australia-troubledkids.en.0.txt
Australia-troubledkids,en,"Troubled youth in Australian tribe find healing in wilderness, culture",7.0,1,Australia-troubledkids.en.1.txt
Australia-troubledkids,en,"Troubled Australian youth healed by tribal culture, eat ants for dessert",6.0,2,Australia-troubledkids.en.2.txt
Australia-troubledkids,en,Australian tribe sends troubled youth into the bush for spiritual healing,5.0,3,Australia-troubledkids.en.3.txt
Australia-troubledkids,en,Australian tribe helps many kids beat drug abuse with wilderness trip,4.0,4,Australia-troubledkids.en.4.txt
Braille-startup,en,13-year-old entrepreneur raises VC funding for Braille printer,12.0,0,Braille-startup.en.0.txt
Braille-startup,en,Simple question leads 13-year-old to start his own company,8.0,1,Braille-startup.en.1.txt
Braille-startup,en,Middle schooler started with Legos and built a company,6.0,2,Braille-startup.en.2.txt
Braille-startup,en,13-year-old gets money for invention from computer company,4.0,3,Braille-startup.en.3.txt
Braille-startup,en,Curious 13-year-old invents a printer,3.0,4,Braille-startup.en.4.txt
Braille-startup-spanish,es,Un empresario de 13 años de edad obtiene financiamiento para una impresora Braille,12.0,0,Braille-startup-spanish.es.0.txt
Braille-startup-spanish,es,Una simple pregunta lleva a un joven de 13 años a iniciar su propia empresa,8.0,1,Braille-startup-spanish.es.1.txt
Braille-startup-spanish,es,Un estudiante de secundaria empezó usando Legos y terminó construyendo una compañía,6.0,2,Braille-startup-spanish.es.2.txt
Braille-startup-spanish,es,Un chico de 13 años obtiene dinero de una compañía de computación para su invento,4.0,3,Braille-startup-spanish.es.3.txt
Braille-startup-spanish,es,Un chico curioso de 13 años inventa una impresora,3.0,4,Braille-startup-spanish.es.4.txt
Civilrights-comicbook,en,Comic book is Rep. John Lewis' civil rights-era teaching tool,12.0,0,Civilrights-comicbook.en.0.txt
Civilrights-comicbook,en,A congressman writes a comic book about his work in the civil rights era,8.0,1,Civilrights-comicbook.en.1.txt
Civilrights-comicbook,en,A comic book by a congressman brings the civil rights movement to life,6.0,2,Civilrights-comicbook.en.2.txt
Civilrights-comicbook,en,History comes to life in comic book about civil rights era by a congressman,4.0,3,Civilrights-comicbook.en.3.txt
Civilrights-comicbook,en,"No superheroes, just real heroes: comic book tells the civil rights story",3.0,4,Civilrights-comicbook.en.4.txt
D-day-fallen,en,"World honors D-Day's fallen, 70 years on",12.0,0,D-day-fallen.en.0.txt
D-day-fallen,en,"Silent salutes, and tears, mark 70th anniversary of D-Day",9.0,1,D-day-fallen.en.1.txt
D-day-fallen,en,"Remembering the D-Day invasion with salutes, tears and friendship",8.0,2,D-day-fallen.en.2.txt
D-day-fallen,en,Remembering those killed during the D-Day invasion 70 years ago,6.0,3,D-day-fallen.en.3.txt
D-day-fallen,en,Remembering D-Day 70 years ago,4.0,4,D-day-fallen.en.4.txt
Detroit-bankruptcy,en,Detroit residents testify about water shut-offs; city: water isn't free,12.0,0,Detroit-bankruptcy.en.0.txt
Detroit-bankruptcy,en,Detroit shuts off water for thousands; groups ask judge to turn it back on,8.0,1,Detroit-bankruptcy.en.1.txt
Detroit-bankruptcy,en,Many in Detroit lose water service; ask judge to make city turn on the taps,7.0,2,Detroit-bankruptcy.en.2.txt
Detroit-bankruptcy,en,Detroit residents complain the city shut off their water without warning,5.0,3,Detroit-bankruptcy.en.3.txt
Detroit-bankruptcy,en,"Detroit shuts water for some people, who ask judge to turn it back on",4.0,4,Detroit-bankruptcy.en.4.txt
Drone-sightings,en,Drone sightings are up dramatically,12.0,0,Drone-sightings.en.0.txt
Drone-sightings,en,"It's a bird, it's a plane, it's ... another drone",8.0,1,Drone-sightings.en.1.txt
Drone-sightings,en,More drones spotted in the sky,7.0,2,Drone-sightings.en.2.txt
Drone-sightings,en,More drones in the sky spells trouble for airplanes,5.0,3,Drone-sightings.en.3.txt
Drone-sightings,en,Drones are crowding the skies,4.0,4,Drone-sightings.en.4.txt
Fastfood-calories,en,"FDA requires calorie counts for retail foods, vending machine fare",12.0,0,Fastfood-calories.en.0.txt
Fastfood-calories,en,Calorie counts to begin showing up  pretty much everywhere,9.0,1,Fastfood-calories.en.1.txt
Fastfood-calories,en,Calorie counting will be easier when new rules are followed,7.0,2,Fastfood-calories.en.2.txt
Fastfood-calories,en,Counting your outside meal's calories will be easier next year,5.0,3,Fastfood-calories.en.3.txt
Fastfood-calories,en,Calorie rules will help with healthy food choices,4.0,4,Fastfood-calories.en.4.txt
Fastfood-millennials,en,Young diners a fast-food challenge,12.0,0,Fastfood-millennials.en.0.txt
Fastfood-millennials,en,Fast-food companies feed millennial generation's healthy appetites,8.0,1,Fastfood-millennials.en.1.txt
Fastfood-millennials,en,Healthy fast food is challenging for many young people,6.0,2,Fastfood-millennials.en.2.txt
Fastfood-millennials,en,Salad or burger? Young diners can't make up their minds,4.0,3,Fastfood-millennials.en.3.txt
Fastfood-millennials,en,Young people look for healthy fast food,3.0,4,Fastfood-millennials.en.4.txt
Free-fashions,en,Cool Clothes Closet gives kids in need a free boutique experience,12.0,0,Free-fashions.en.0.txt
Free-fashions,en,Free clothing boutique opens for kids in need,8.0,1,Free-fashions.en.1.txt
Free-fashions,en,Special store in Florida gives clothes to kids for free,6.0,2,Free-fashions.en.2.txt
Free-fashions,en,"A ""Cool Closet"" where the clothes are free",4.0,3,Free-fashions.en.3.txt
Free-fashions,en,Kids can pick clothes for free at a special store,3.0,4,Free-fashions.en.4.txt
Hospital-bootcamp,en,Hospital boot camp makes exercise fun for kids,12.0,0,Hospital-bootcamp.en.0.txt
Hospital-bootcamp,en,Kids are rock stars at getting in shape in Miami health program,6.0,1,Hospital-bootcamp.en.1.txt
Hospital-bootcamp,en,A health program that gets kids up and moving,5.0,2,Hospital-bootcamp.en.2.txt
Hospital-bootcamp,en,Miami kids go to boot camp to get in shape,4.0,3,Hospital-bootcamp.en.3.txt
Hospital-bootcamp,en,Working out is fun for Miami kids,2.0,4,Hospital-bootcamp.en.4.txt
Hurricane-drones,en,Drones to fly into hurricanes to help improve storm forecasts,12.0,0,Hurricane-drones.en.0.txt
Hurricane-drones,en,Hurricane forecasting enters the drone era,8.0,1,Hurricane-drones.en.1.txt
Hurricane-drones,en,Drones will be launched in an attack on hurricanes this storm season,7.0,2,Hurricane-drones.en.2.txt
Hurricane-drones,en,Drones are ready to take on hurricane season,5.0,3,Hurricane-drones.en.3.txt
