old_j	new_j   1.58
smart_j	intelligent_j	9.2
hard_j	difficult_j	8.77
happy_j	cheerful_j	9.55
hard_j	easy_j	0.95
fast_j	rapid_j	8.75
happy_j	glad_j	9.17
short_j	long_j	1.23
stupid_j	dumb_j	9.58
weird_j	strange_j	8.93
wide_j	narrow_j	1.03
bad_j	awful_j	8.42
easy_j	difficult_j	0.58
bad_j	terrible_j	7.78
hard_j	simple_j	1.38
smart_j	dumb_j	0.55
insane_j	crazy_j	9.57
happy_j	mad_j	0.95
large_j	huge_j	9.47
hard_j	tough_j	8.05
new_j	fresh_j	6.83
sharp_j	dull_j	0.6
quick_j	rapid_j	9.7
dumb_j	foolish_j	6.67
wonderful_j	terrific_j	8.63
strange_j	odd_j	9.02
happy_j	angry_j	1.28
narrow_j	broad_j	1.18
simple_j	easy_j	9.4
old_j	fresh_j	0.87
apparent_j	obvious_j	8.47
inexpensive_j	cheap_j	8.72
nice_j	generous_j	5
weird_j	normal_j	0.72
weird_j	odd_j	9.2
bad_j	immoral_j	7.62
sad_j	funny_j	0.95
wonderful_j	great_j	8.05
guilty_j	ashamed_j	6.38
beautiful_j	wonderful_j	6.5
confident_j	sure_j	8.27
dumb_j	dense_j	7.27
large_j	big_j	9.55
nice_j	cruel_j	0.67
impatient_j	anxious_j	6.03
big_j	broad_j	6.73
strong_j	proud_j	3.17
unnecessary_j	necessary_j	0.63
restless_j	young_j	1.6
dumb_j	intelligent_j	0.75
bad_j	great_j	0.35
difficult_j	simple_j	0.87
necessary_j	important_j	7.37
bad_j	terrific_j	0.65
mad_j	glad_j	1.45
honest_j	guilty_j	1.18
easy_j	tough_j	0.52
easy_j	flexible_j	4.1
certain_j	sure_j	8.42
essential_j	necessary_j	8.97
different_j	normal_j	1.08
sly_j	clever_j	7.25
crucial_j	important_j	8.82
harsh_j	cruel_j	8.18
childish_j	foolish_j	5.5
scarce_j	rare_j	9.17
friendly_j	generous_j	5.9
fragile_j	frigid_j	2.38
long_j	narrow_j	3.57
big_j	heavy_j	6.18
rough_j	frigid_j	2.47
bizarre_j	strange_j	9.37
illegal_j	immoral_j	4.28
bad_j	guilty_j	4.2
modern_j	ancient_j	0.73
new_j	ancient_j	0.23
dull_j	funny_j	0.55
happy_j	young_j	2
easy_j	big_j	1.12
great_j	awful_j	1.17
tiny_j	huge_j	0.6
polite_j	proper_j	7.63
modest_j	ashamed_j	2.65
exotic_j	rare_j	8.05
dumb_j	clever_j	1.17
delightful_j	wonderful_j	8.65
noticeable_j	obvious_j	8.48
afraid_j	anxious_j	5.07
formal_j	proper_j	8.02
dreary_j	dull_j	8.25
delightful_j	cheerful_j	6.58
unhappy_j	mad_j	5.95
sad_j	terrible_j	5.4
sick_j	crazy_j	3.57
violent_j	angry_j	6.98
laden_j	heavy_j	5.9
dirty_j	cheap_j	1.6
elastic_j	flexible_j	7.78
hard_j	dense_j	5.9
recent_j	new_j	7.05
bold_j	proud_j	3.97
sly_j	strange_j	1.97
strange_j	sly_j	2.07
dumb_j	rare_j	0.48
sly_j	tough_j	0.58
terrific_j	mad_j	0.4
modest_j	flexible_j	0.98
fresh_j	wide_j	0.4
huge_j	dumb_j	0.48
large_j	flexible_j	0.48
dirty_j	narrow_j	0.3
wife_n	husband_n	2.3
book_n	text_n	6.35
groom_n	bride_n	3.17
night_n	day_n	1.88
south_n	north_n	2.2
plane_n	airport_n	3.65
uncle_n	aunt_n	5.5
horse_n	mare_n	8.33
bottom_n	top_n	0.7
friend_n	buddy_n	8.78
student_n	pupil_n	9.35
world_n	globe_n	6.67
leg_n	arm_n	2.88
plane_n	jet_n	8.1
woman_n	man_n	3.33
horse_n	colt_n	7.07
actress_n	actor_n	7.12
teacher_n	instructor_n	9.25
movie_n	film_n	8.87
bird_n	hawk_n	7.85
word_n	dictionary_n	3.68
money_n	salary_n	7.88
dog_n	cat_n	1.75
area_n	region_n	9.47
navy_n	army_n	6.43
book_n	literature_n	7.53
clothes_n	closet_n	3.27
sunset_n	sunrise_n	2.47
child_n	adult_n	2.98
cow_n	cattle_n	9.52
book_n	story_n	5.63
winter_n	summer_n	2.38
taxi_n	cab_n	9.2
tree_n	maple_n	5.53
bed_n	bedroom_n	3.4
roof_n	ceiling_n	7.58
disease_n	infection_n	7.15
arm_n	shoulder_n	4.85
sheep_n	lamb_n	8.42
lady_n	gentleman_n	3.42
boat_n	anchor_n	2.25
priest_n	monk_n	6.28
toe_n	finger_n	4.68
river_n	stream_n	7.3
anger_n	fury_n	8.73
date_n	calendar_n	4.42
sea_n	ocean_n	8.27
second_n	minute_n	4.62
hand_n	thumb_n	3.88
wood_n	log_n	7.3
mud_n	dirt_n	7.32
hallway_n	corridor_n	9.28
way_n	manner_n	7.62
mouse_n	cat_n	1.12
cop_n	sheriff_n	9.05
death_n	burial_n	4.93
music_n	melody_n	6.98
beer_n	alcohol_n	7.5
mouth_n	lip_n	7.1
storm_n	hurricane_n	6.38
tax_n	income_n	2.38
flower_n	violet_n	6.95
paper_n	cardboard_n	5.38
floor_n	ceiling_n	1.73
beach_n	seashore_n	8.33
rod_n	curtain_n	3.03
hound_n	fox_n	2.38
street_n	alley_n	5.48
boat_n	deck_n	4.28
car_n	horn_n	2.57
friend_n	guest_n	4.25
employer_n	employee_n	3.65
hand_n	wrist_n	3.97
ball_n	cannon_n	2.58
alcohol_n	brandy_n	6.98
victory_n	triumph_n	8.98
telephone_n	booth_n	3.63
door_n	doorway_n	5.4
motel_n	inn_n	8.17
clothes_n	cloth_n	5.47
steak_n	meat_n	7.47
nail_n	thumb_n	3.55
band_n	orchestra_n	7.08
book_n	bible_n	5
business_n	industry_n	7.02
winter_n	season_n	6.27
decade_n	century_n	3.48
alcohol_n	gin_n	8.65
hat_n	coat_n	2.67
window_n	door_n	3.33
arm_n	wrist_n	3.57
house_n	apartment_n	5.8
glass_n	crystal_n	6.27
wine_n	brandy_n	5.15
creator_n	maker_n	9.62
dinner_n	breakfast_n	3.33
arm_n	muscle_n	3.72
bubble_n	suds_n	8.57
bread_n	flour_n	3.33
death_n	tragedy_n	5.8
absence_n	presence_n	0.4
gun_n	cannon_n	5.68
grass_n	blade_n	4.57
ball_n	basket_n	1.67
hose_n	garden_n	1.67
boy_n	kid_n	7.5
church_n	choir_n	2.95
clothes_n	drawer_n	3.02
tower_n	bell_n	1.9
father_n	parent_n	7.07
school_n	grade_n	4.42
parent_n	adult_n	5.37
bar_n	jail_n	1.9
car_n	highway_n	3.4
dictionary_n	definition_n	6.25
door_n	cellar_n	1.97
army_n	legion_n	5.95
metal_n	aluminum_n	7.25
chair_n	bench_n	6.67
cloud_n	fog_n	6
boy_n	son_n	6.75
water_n	ice_n	6.47
bed_n	blanket_n	3.02
attorney_n	lawyer_n	9.35
area_n	zone_n	8.33
business_n	company_n	9.02
clothes_n	fabric_n	5.87
sweater_n	jacket_n	7.15
money_n	capital_n	6.67
hand_n	foot_n	4.17
alcohol_n	cocktail_n	6.73
yard_n	inch_n	3.78
molecule_n	atom_n	6.45
lens_n	camera_n	4.28
meal_n	dinner_n	7.15
eye_n	tear_n	3.55
god_n	devil_n	1.8
loop_n	belt_n	3.1
rat_n	mouse_n	7.78
motor_n	engine_n	8.65
car_n	cab_n	7.42
cat_n	lion_n	6.75
size_n	magnitude_n	6.33
reality_n	fantasy_n	1.03
door_n	gate_n	5.25
cat_n	pet_n	5.95
tin_n	aluminum_n	6.42
bone_n	jaw_n	4.17
cereal_n	wheat_n	3.75
house_n	key_n	1.9
blood_n	flesh_n	4.28
door_n	corridor_n	3.73
god_n	spirit_n	7.3
capability_n	competence_n	7.62
abundance_n	plenty_n	8.97
sofa_n	chair_n	6.67
wall_n	brick_n	4.68
horn_n	drum_n	2.68
organ_n	liver_n	6.15
strength_n	might_n	7.07
phrase_n	word_n	5.48
band_n	parade_n	3.92
stomach_n	waist_n	5.9
cloud_n	storm_n	5.6
joy_n	pride_n	5
noise_n	rattle_n	6.17
rain_n	mist_n	5.97
beer_n	beverage_n	5.42
man_n	uncle_n	3.92
apple_n	juice_n	2.88
intelligence_n	logic_n	6.5
communication_n	language_n	7.47
mink_n	fur_n	6.83
mob_n	crowd_n	7.85
shore_n	coast_n	8.83
wire_n	cord_n	7.62
bird_n	turkey_n	6.58
bed_n	crib_n	7.3
competence_n	ability_n	7.5
cloud_n	haze_n	7.32
supper_n	meal_n	7.53
bar_n	cage_n	2.8
water_n	salt_n	1.3
sense_n	intuition_n	7.68
situation_n	condition_n	6.58
crime_n	theft_n	7.53
style_n	fashion_n	8.5
boundary_n	border_n	9.08
arm_n	body_n	4.05
boat_n	car_n	2.37
sandwich_n	lunch_n	6.3
bride_n	princess_n	2.8
heroine_n	hero_n	8.78
car_n	gauge_n	1.13
insect_n	bee_n	6.07
crib_n	cradle_n	8.55
animal_n	person_n	3.05
marijuana_n	herb_n	6.5
bed_n	hospital_n	0.92
cheek_n	tongue_n	4.52
disc_n	computer_n	3.2
curve_n	angle_n	3.33
grass_n	moss_n	5
school_n	law_n	1.13
foot_n	head_n	2.3
mother_n	guardian_n	6.5
orthodontist_n	dentist_n	8.27
alcohol_n	whiskey_n	7.27
mouth_n	tooth_n	6.3
breakfast_n	bacon_n	4.37
bathroom_n	bedroom_n	3.4
plate_n	bowl_n	5.23
meat_n	bacon_n	5.8
air_n	helium_n	3.63
worker_n	employer_n	5.37
body_n	chest_n	4.45
son_n	father_n	3.82
heart_n	surgery_n	1.08
woman_n	secretary_n	1.98
man_n	father_n	4.83
beach_n	island_n	5.6
story_n	topic_n	5
game_n	fun_n	3.42
weekend_n	week_n	4
couple_n	pair_n	8.33
woman_n	wife_n	5.72
sheep_n	cattle_n	4.77
purse_n	bag_n	8.33
ceiling_n	cathedral_n	2.42
bean_n	coffee_n	5.15
wood_n	paper_n	2.88
top_n	side_n	1.9
crime_n	fraud_n	5.65
pain_n	harm_n	5.38
lover_n	companion_n	5.97
evening_n	dusk_n	7.78
father_n	daughter_n	2.62
wine_n	liquor_n	7.85
cow_n	goat_n	2.93
belief_n	opinion_n	7.7
reality_n	illusion_n	1.42
pact_n	agreement_n	9.02
wealth_n	poverty_n	1.27
accident_n	emergency_n	4.93
battle_n	conquest_n	7.22
friend_n	teacher_n	2.62
illness_n	infection_n	6.9
game_n	trick_n	2.32
brother_n	son_n	3.48
aunt_n	nephew_n	3.1
worker_n	mechanic_n	4.92
doctor_n	orthodontist_n	5.58
oak_n	maple_n	6.03
bee_n	queen_n	3.27
car_n	bicycle_n	3.47
goal_n	quest_n	5.83
august_n	month_n	5.53
army_n	squad_n	5.08
cloud_n	weather_n	4.87
physician_n	doctor_n	8.88
canyon_n	valley_n	6.75
river_n	valley_n	1.67
sun_n	sky_n	2.27
target_n	arrow_n	3.25
chocolate_n	pie_n	2.27
circumstance_n	situation_n	7.85
opinion_n	choice_n	5.43
rhythm_n	melody_n	6.12
gut_n	nerve_n	4.93
day_n	dawn_n	5.47
cattle_n	beef_n	7.03
doctor_n	professor_n	4.65
arm_n	vein_n	3.65
room_n	bath_n	3.33
corporation_n	business_n	9.02
fun_n	football_n	1.97
hill_n	cliff_n	4.28
bone_n	ankle_n	3.82
apple_n	candy_n	2.08
helper_n	maid_n	5.58
leader_n	manager_n	7.27
lemon_n	tea_n	1.6
bee_n	ant_n	2.78
basketball_n	baseball_n	4.92
rice_n	bean_n	2.72
bed_n	furniture_n	6.08
emotion_n	passion_n	7.72
anarchy_n	chaos_n	7.93
crime_n	violation_n	7.12
machine_n	engine_n	5.58
beach_n	sea_n	4.68
alley_n	bowl_n	1.53
